date,value,inventory,price,data_type
2014-01-01,0.0,4972.0,1.29,Historical
2014-01-02,70.0,4902.0,1.29,Historical
2014-01-03,59.0,4843.0,1.29,Historical
2014-01-04,93.0,4750.0,1.29,Historical
2014-01-05,96.0,4654.0,1.29,Historical
2014-01-06,145.0,4509.0,1.29,Historical
2014-01-07,179.0,4329.0,1.29,Historical
2014-01-08,321.0,4104.0,1.29,Historical
2014-01-09,125.0,4459.0,1.09,Historical
2014-01-10,88.0,5043.0,1.09,Historical
2014-01-11,188.0,5239.0,1.09,Historical
2014-01-12,121.0,5118.0,1.09,Historical
2014-01-13,134.0,4984.0,1.09,Historical
2014-01-14,80.0,4904.0,1.09,Historical
2014-01-15,82.0,4822.0,1.09,Historical
2014-01-16,94.0,4728.0,1.19,Historical
2014-01-17,94.0,4728.0,1.19,Historical
2014-01-18,159.0,4464.0,1.19,Historical
2014-01-19,199.0,4265.0,1.19,Historical
2014-01-20,104.0,4161.0,1.19,Historical
2014-01-21,70.0,4091.0,1.19,Historical
2014-01-22,127.0,3964.0,1.09,Historical
2014-01-23,96.0,3868.0,1.09,Historical
2014-01-24,75.0,3793.0,1.09,Historical
2014-01-25,198.0,3595.0,1.09,Historical
2014-01-26,168.0,3427.0,1.09,Historical
2014-01-27,125.0,3302.0,1.09,Historical
2014-01-28,86.0,3216.0,1.09,Historical
2014-01-29,222.0,2994.0,0.99,Historical
2014-01-30,272.0,2723.0,0.99,Historical
2014-01-31,209.0,2514.0,0.99,Historical
2014-02-01,369.0,2145.0,0.99,Historical
2014-02-02,217.0,1928.0,0.99,Historical
2014-02-03,97.0,1831.0,0.99,Historical
2014-02-04,117.0,1714.0,0.99,Historical
2014-02-05,100.0,1998.0,1.29,Historical
2014-02-06,64.0,2126.0,1.29,Historical
2014-02-07,35.0,2091.0,1.29,Historical
2014-02-08,54.0,2037.0,1.29,Historical
2014-02-09,55.0,1982.0,1.29,Historical
2014-02-10,55.0,1982.0,1.29,Historical
2014-02-11,55.0,1982.0,1.29,Historical
2014-02-12,8.0,7228.0,1.29,Historical
2014-02-13,43.0,7185.0,1.09,Historical
2014-02-14,107.0,7078.0,1.09,Historical
2014-02-15,116.0,6962.0,1.09,Historical
2014-02-16,87.0,6875.0,1.09,Historical
2014-02-17,66.0,6809.0,1.09,Historical
2014-02-18,44.0,6765.0,1.09,Historical
2014-02-19,33.0,6731.0,1.09,Historical
2014-02-20,13.0,6718.0,1.09,Historical
2014-02-21,53.0,6665.0,1.09,Historical
2014-02-22,72.0,6593.0,1.09,Historical
2014-02-23,50.0,6543.0,1.09,Historical
2014-02-24,15.0,6528.0,1.09,Historical
2014-02-25,12.0,6516.0,1.09,Historical
2014-02-26,71.0,6445.0,1.09,Historical
2014-02-27,37.0,6412.0,1.09,Historical
2014-02-28,83.0,6329.0,1.09,Historical
2014-03-01,94.0,6237.0,1.09,Historical
2014-03-02,59.0,6178.0,1.09,Historical
2014-03-03,49.0,6129.0,1.09,Historical
2014-03-04,49.0,6129.0,1.09,Historical
2014-03-05,65.0,6012.0,1.09,Historical
2014-03-06,55.0,5957.0,1.09,Historical
2014-03-07,77.0,5880.0,1.09,Historical
2014-03-08,122.0,5755.0,1.09,Historical
2014-03-09,83.0,5672.0,1.09,Historical
2014-03-10,75.0,5597.0,1.09,Historical
2014-03-11,48.0,5549.0,1.09,Historical
2014-03-12,45.0,5504.0,1.29,Historical
2014-03-13,78.0,4659.0,1.29,Historical
2014-03-14,122.0,4537.0,1.29,Historical
2014-03-15,122.0,4537.0,1.29,Historical
2014-03-16,116.0,4274.0,1.29,Historical
